location,name,freq,weighting,n_factors,date,ret
usa,momentum,daily,vw_cap,6,1927-02-28,0.000747220590720355
usa,momentum,daily,vw_cap,6,1927-03-01,0.000633125842145732
usa,momentum,daily,vw_cap,6,1927-03-02,-0.00350980255199346
usa,momentum,daily,vw_cap,6,1927-03-03,0.00537937304076006
usa,momentum,daily,vw_cap,6,1927-03-04,0.0000814786641237977
usa,momentum,daily,vw_cap,6,1927-03-05,0.0000376820650897315
usa,momentum,daily,vw_cap,6,1927-03-07,0.0000799032330548915
usa,momentum,daily,vw_cap,6,1927-03-08,0.0017056247488385
usa,momentum,daily,vw_cap,6,1927-03-09,0.00465347264147892
usa,momentum,daily,vw_cap,6,1927-03-10,0.00280159150977223
usa,momentum,daily,vw_cap,6,1927-03-11,0.00196905784627923
usa,momentum,daily,vw_cap,6,1927-03-12,-0.00301787274267152
usa,momentum,daily,vw_cap,6,1927-03-14,0.00256264107343437
usa,momentum,daily,vw_cap,6,1927-03-15,-0.000554476241955899
usa,momentum,daily,vw_cap,6,1927-03-16,0.00355750472058483
usa,momentum,daily,vw_cap,6,1927-03-17,0.00171240753011381
usa,momentum,daily,vw_cap,6,1927-03-18,0.00106226637215868
usa,momentum,daily,vw_cap,6,1927-03-19,-0.000262994175787247
usa,momentum,daily,vw_cap,6,1927-03-21,0.00114004664426086
usa,momentum,daily,vw_cap,6,1927-03-22,-0.00236644348903299
usa,momentum,daily,vw_cap,6,1927-03-23,-0.00129331701978674
usa,momentum,daily,vw_cap,6,1927-03-24,0.00306397611722783
usa,momentum,daily,vw_cap,6,1927-03-25,0.00232990286004117
usa,momentum,daily,vw_cap,6,1927-03-26,-0.00236823598659434
usa,momentum,daily,vw_cap,6,1927-03-28,0.00247208451576882
usa,momentum,daily,vw_cap,6,1927-03-29,0.00463526566383434
usa,momentum,daily,vw_cap,6,1927-03-30,0.00493788486706803
usa,momentum,daily,vw_cap,6,1927-03-31,0.00218263502333362
usa,momentum,daily,vw_cap,6,1927-04-01,0.00333661357147833
usa,momentum,daily,vw_cap,6,1927-04-02,0.00010819374586744
usa,momentum,daily,vw_cap,6,1927-04-04,0.00721110101378096
usa,momentum,daily,vw_cap,6,1927-04-05,0.000674616869444259
usa,momentum,daily,vw_cap,6,1927-04-06,0.000279495241746613
usa,momentum,daily,vw_cap,6,1927-04-07,0.00168203852143568
usa,momentum,daily,vw_cap,6,1927-04-08,0.00481807135985336
usa,momentum,daily,vw_cap,6,1927-04-09,0.00260890465201909
usa,momentum,daily,vw_cap,6,1927-04-11,-0.000064037295999016
usa,momentum,daily,vw_cap,6,1927-04-12,-0.00276071439692288
usa,momentum,daily,vw_cap,6,1927-04-13,-0.000638633835651526
usa,momentum,daily,vw_cap,6,1927-04-14,-0.000243930624249391
usa,momentum,daily,vw_cap,6,1927-04-16,0.000547153907642035
usa,momentum,daily,vw_cap,6,1927-04-18,0.00252481727762864
usa,momentum,daily,vw_cap,6,1927-04-19,-0.00164556519784785
usa,momentum,daily,vw_cap,6,1927-04-20,0.000997789183663352
usa,momentum,daily,vw_cap,6,1927-04-21,0.00031108398301519
usa,momentum,daily,vw_cap,6,1927-04-22,0.00423180662949732
usa,momentum,daily,vw_cap,6,1927-04-23,0.000802328299853948
usa,momentum,daily,vw_cap,6,1927-04-25,-0.00561530561442736
usa,momentum,daily,vw_cap,6,1927-04-26,0.00102247706470772
usa,momentum,daily,vw_cap,6,1927-04-27,0.00738401808127824
usa,momentum,daily,vw_cap,6,1927-04-28,-0.00370596915540321
usa,momentum,daily,vw_cap,6,1927-04-29,0.00348444046895571
usa,momentum,daily,vw_cap,6,1927-04-30,-0.00156114129330239
usa,momentum,daily,vw_cap,6,1927-05-02,0.00126013716423015
usa,momentum,daily,vw_cap,6,1927-05-03,0.00556329866690052
usa,momentum,daily,vw_cap,6,1927-05-04,-0.00256349877610833
usa,momentum,daily,vw_cap,6,1927-05-05,-0.00230641457438499
usa,momentum,daily,vw_cap,6,1927-05-06,-0.0028257068810452
usa,momentum,daily,vw_cap,6,1927-05-07,0.00124615922848093
usa,momentum,daily,vw_cap,6,1927-05-09,0.00325359835494683
usa,momentum,daily,vw_cap,6,1927-05-10,0.00470482512325627
usa,momentum,daily,vw_cap,6,1927-05-11,-0.00335471581260752
usa,momentum,daily,vw_cap,6,1927-05-12,0.000105784079030318
usa,momentum,daily,vw_cap,6,1927-05-13,0.00467814895309358
usa,momentum,daily,vw_cap,6,1927-05-14,-0.000150544086337888
usa,momentum,daily,vw_cap,6,1927-05-16,-0.00183472860978517
usa,momentum,daily,vw_cap,6,1927-05-17,0.00538731013843682
usa,momentum,daily,vw_cap,6,1927-05-18,0.00674555975403984
usa,momentum,daily,vw_cap,6,1927-05-19,0.00435066606673833
usa,momentum,daily,vw_cap,6,1927-05-20,-0.000869335229035366
usa,momentum,daily,vw_cap,6,1927-05-21,-0.000615892701383646
usa,momentum,daily,vw_cap,6,1927-05-23,0.00514195549579767
usa,momentum,daily,vw_cap,6,1927-05-24,0.000604802336251577
usa,momentum,daily,vw_cap,6,1927-05-25,0.000795755325441799
usa,momentum,daily,vw_cap,6,1927-05-26,-0.00235931766643154
usa,momentum,daily,vw_cap,6,1927-05-27,0.00215666775090992
usa,momentum,daily,vw_cap,6,1927-05-28,0.000881548377569489
usa,momentum,daily,vw_cap,6,1927-05-31,0.00314336638609494
usa,momentum,daily,vw_cap,6,1927-06-01,0.00795059672027515
usa,momentum,daily,vw_cap,6,1927-06-02,0.00355062619631243
usa,momentum,daily,vw_cap,6,1927-06-03,-0.00404423693637076
usa,momentum,daily,vw_cap,6,1927-06-04,0.00469881918800972
usa,momentum,daily,vw_cap,6,1927-06-06,0.00447029918455592
usa,momentum,daily,vw_cap,6,1927-06-07,-0.00384291237831489
usa,momentum,daily,vw_cap,6,1927-06-08,-0.0030941702569463
usa,momentum,daily,vw_cap,6,1927-06-09,-0.00178365706890019
usa,momentum,daily,vw_cap,6,1927-06-10,0.000720102552487332
usa,momentum,daily,vw_cap,6,1927-06-11,-0.00175207038878973
usa,momentum,daily,vw_cap,6,1927-06-14,-0.00778360881481378
usa,momentum,daily,vw_cap,6,1927-06-15,0.00440818499455657
usa,momentum,daily,vw_cap,6,1927-06-16,0.00471496341520277
usa,momentum,daily,vw_cap,6,1927-06-17,-0.0033289462594935
usa,momentum,daily,vw_cap,6,1927-06-18,0.00116277866126435
usa,momentum,daily,vw_cap,6,1927-06-20,0.00108267683970635
usa,momentum,daily,vw_cap,6,1927-06-21,0.00110276222584124
usa,momentum,daily,vw_cap,6,1927-06-22,0.00457501050395244
usa,momentum,daily,vw_cap,6,1927-06-23,-0.00134497970128851
usa,momentum,daily,vw_cap,6,1927-06-24,0.000731436017281969
usa,momentum,daily,vw_cap,6,1927-06-25,0.00205727285251482
usa,momentum,daily,vw_cap,6,1927-06-27,0.00183249892481729
usa,momentum,daily,vw_cap,6,1927-06-28,-0.00319557607942689
usa,momentum,daily,vw_cap,6,1927-06-29,-0.00009225890506147
usa,momentum,daily,vw_cap,6,1927-06-30,0.00481135564386515
usa,momentum,daily,vw_cap,6,1927-07-01,0.00187967759211863
usa,momentum,daily,vw_cap,6,1927-07-02,0.00264508235517272
usa,momentum,daily,vw_cap,6,1927-07-05,0.00279970795143202
usa,momentum,daily,vw_cap,6,1927-07-06,0.000680971202908028
usa,momentum,daily,vw_cap,6,1927-07-07,0.00205596556184536
