Dates,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,,,,RX = Mean,HML = P5 - P1
1/31/2008,0.0455572587999742,0.0170454265879898,0.000223981345791491,0.00409702494514863,0.0263877872814997,,,,1.87%,-1.92%
2/29/2008,0.029615994891102,0.0235461878954476,0.0272979816629657,0.0202968488891237,0.036277471974819,,,,2.74%,0.67%
3/31/2008,0.048577031497719,-0.00370788269946493,0.0391435981595508,0.0125243382326837,-0.0202778313412122,,,,1.53%,-6.89%
4/30/2008,-0.0463715318277451,0.00319580803500807,-0.0115637341750113,-0.00141647700846043,0.0177606094855632,,,,-0.77%,6.41%
5/30/2008,-0.00632026436469063,0.00672726347523334,-0.00157403874908219,0.00295304992700102,0.0105179100586128,,,,0.25%,1.68%
6/30/2008,0.00731394026783544,-0.00529718349329222,0.00462129600677419,0.00492216125079548,-0.00943024874670312,,,,0.04%,-1.67%
7/31/2008,-0.0208460201847323,-0.00738645147430544,-0.00652377555786821,-0.00425456233731164,-0.0221968493404843,,,,-1.22%,-0.14%
8/29/2008,-0.0279716630567657,-0.0473342210784606,-0.0598852886809704,-0.0655579027157351,-0.0654210544429043,,,,-5.32%,-3.74%
9/30/2008,0.00472590655622901,-0.0168059133963755,-0.0537046669219213,-0.0470866139914489,-0.0567219970467666,,,,-3.39%,-6.14%
10/31/2008,0.0158417243657541,-0.0983927513984838,-0.105772569711299,-0.131350550882163,-0.121948154387753,,,,-8.83%,-13.78%
11/28/2008,-0.00665760866757092,-0.0421339427926485,-0.0309389454699489,-0.0248550077931504,-0.0384984704054367,,,,-2.86%,-3.18%
12/31/2008,0.0931235685102625,-0.0125735889462474,0.0651640499181201,0.084712630089794,0.035979063309253,,,,5.33%,-5.71%
1/30/2009,-0.0337199488984247,-0.0366764876889699,-0.0468897552455077,-0.0359345408758668,-0.107258451960789,,,,-5.21%,-7.35%
2/27/2009,-0.0431239464505065,-0.0185115579235299,-0.0395450733493724,-0.0125798335231712,0.00312388308090961,,,,-2.21%,4.62%
3/31/2009,0.00529413634625209,0.00362016502242535,0.0669843867553642,0.0445151224050576,0.104541128168745,,,,4.50%,9.92%
4/30/2009,0.00244498980332641,0.0446086647124115,0.0162144172676454,0.0153063559128139,0.0303124507280443,,,,2.18%,2.79%
5/29/2009,0.0517496114650929,0.0704755648144747,0.0784936346640194,0.0527144126549847,0.107815560804082,,,,7.22%,5.61%
6/30/2009,-0.0118899002920272,-0.0215021694306103,-0.00970735672247108,-0.0126903011308961,0.0109689023331085,,,,-0.90%,2.29%
7/31/2009,0.0189314243817835,0.0456847935804556,0.0417237421848078,0.0332528810175179,0.0291484700691956,,,,3.37%,1.02%
8/31/2009,0.0102811215210498,0.00355219140123525,-0.0102796387967877,0.0112307252146669,0.0240614016557089,,,,0.78%,1.38%
9/30/2009,0.0348929416978322,0.00980671400640587,0.00230361030403969,0.0269879415274011,0.0541671611822892,,,,2.56%,1.93%
10/30/2009,-6.88899982270175E-05,-0.00440278183614973,0.0159399424438242,0.0119873899364276,0.00830018763497192,,,,0.64%,0.84%
11/30/2009,0.0160491514806352,0.0331951339880571,0.00731643001105947,0.000408300651630944,0.00655631661143546,,,,1.27%,-0.95%
12/31/2009,-0.0262219858252419,-0.0332596643126227,-0.030357863134738,-0.0226126306131655,-0.000555988892657733,,,,-2.26%,2.57%
1/29/2010,-0.0267394255955218,0.00481774675955365,-0.0207239237395436,-0.0263973848010008,-0.0177895344336543,,,,-1.74%,0.89%
2/26/2010,0.0041633680929517,0.0229040910676189,-0.0342418524945031,-0.00945958082115511,0.00180671219230921,,,,-0.30%,-0.24%
3/31/2010,-0.0129314979185317,0.0132956655023778,-0.00392390710635737,-0.00457703819061167,0.0215750110729673,,,,0.27%,3.45%
4/30/2010,-0.0156561936274216,-0.0140982162282716,0.00235415618174267,-0.0074944979096645,0.0223935738168038,,,,-0.25%,3.80%
5/31/2010,-0.0139333219280611,-0.051977017184853,-0.0610479878375864,-0.0760051833402948,-0.0762252381391598,,,,-5.58%,-6.23%
6/30/2010,0.0487641213957073,-0.0021617904528779,0.0126218761841865,-0.00843295505915459,0.00942080411874957,,,,1.20%,-3.93%
7/30/2010,0.0305980707166434,0.062543959779779,0.0626757068655064,0.0507036313484532,0.0610822789728298,,,,5.35%,3.05%
8/31/2010,0.0259863814465816,-0.028631654644236,-0.0240230561166142,-0.0369182831591578,-0.024421153026896,,,,-1.76%,-5.04%
9/30/2010,0.022004568953039,0.07166655198329,0.0296017632455465,0.0807923812277261,0.0703917944287232,,,,5.49%,4.84%
10/29/2010,0.0178058807512164,0.0201121321268386,0.0152012756845832,0.00481146336002258,0.0301361434247988,,,,1.76%,1.23%
11/30/2010,-0.0264157713817378,-0.0458009547906653,-0.0359041705097797,-0.0473923681486713,-0.0203686837475197,,,,-3.52%,0.60%
12/31/2010,0.0519661296978718,0.0269366325530078,0.0184585571187791,0.0527816132190009,0.0587738200239425,,,,4.18%,0.68%
1/31/2011,-0.00820506643360136,0.0227935535073562,0.00917369217777242,0.0265031546651729,-0.0130763195798325,,,,0.74%,-0.49%
2/28/2011,0.0073105831477629,0.00986655993670815,0.0183711774153638,0.0236704330336015,-0.00098335216485157,,,,1.16%,-0.83%
3/31/2011,0.00294920414265043,0.00797931274867314,0.015462397683033,0.0108242147054886,0.0184567502930395,,,,1.11%,1.55%
4/29/2011,0.037646846545369,0.0409189325377231,0.0323359745088976,0.0499099566136847,0.0514831659708868,,,,4.25%,1.38%
5/31/2011,-0.00674890838368492,-0.0290637557615216,0.00164580635259681,-0.0157670722239521,2.47049977629699E-05,,,,-1.00%,0.68%
6/30/2011,0.0124046255817567,-0.00590509634997588,0.00744835610153483,-0.00873933386122888,0.00865230099147707,,,,0.28%,-0.38%
7/29/2011,0.0571139482840961,0.0155506658119743,-0.00812611830425802,0.00278096094728575,0.0443158244648819,,,,2.23%,-1.28%
8/31/2011,-0.0054976017421432,-0.0160158039081761,0.00129053559532466,0.000215365882328733,-0.0223485434879425,,,,-0.85%,-1.69%
9/30/2011,-0.0588769935611404,-0.0529814529931443,-0.062833836518388,-0.0778007549103493,-0.0955585064767413,,,,-6.96%,-3.67%
10/31/2011,0.0126068902195314,0.0346461387843731,0.0366806650361112,0.0540862439580756,0.0747109006108221,,,,4.25%,6.21%
11/30/2011,-0.0173849997542399,-0.0301872190776382,-0.0280903310028683,-0.0412776002107644,-0.0342461277425954,,,,-3.02%,-1.69%
12/30/2011,-0.00990422320280954,-0.0362931239083339,-0.00488649286327864,-0.0251801263932517,0.00374681624461415,,,,-1.45%,1.37%
1/31/2012,0.0141406259481985,0.00699813061645305,0.0140515484937355,0.0143018142111523,0.0490298509161201,,,,1.97%,3.49%
